customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
f8a3e963a310aa58b60a5b1fed5bceb5,b1a1199364a4a7fe27c4486ab63f550d,302027,Jaipur,Rajasthan
03fc97548af8f58fefc768d12b546c9c,4b86049cb99e4aa774031daa9cd18f18,560056,Bangalore,Karnataka
e41819d1c95c12c9ce495b630eab8aee,f63805d9c7edb84d92413af34b86a39c,560082,Bangalore,Karnataka
322162b5ca010c2b059cb5224dd818b1,619e926d09b26efbd5180368b1ddc874,560001,Bangalore,Karnataka
c11c31965ff02cc1d7132df8edfcbc22,ad353b4fb0e294adc4eda48af73e68a6,400099,Mumbai,Maharashtra
3f3a10ec410c8efb0ca799fa7705d07e,8b28d6ec6f6a9124310e82e5a55f35de,560059,Bangalore,Karnataka
7e395b4bf53aea8c56b1213f1b801411,f7495a8d48d05ca657eb075b905a1b8b,110017,Delhi,UT
30f840412466fa26e5c035e1ad1fdec3,3256bccea9c8aa521d29257b56c54f88,600087,Chennai,Tamil Nadu
181e2217f874cb5390be37f378db5e07,8fe54925e8ff1067c803ae7026fe384b,110009,Delhi,UT
181e2217f874cb5390be37f378db5e07,8fe54925e8ff1067c803ae7026fe384b,560007,Bangalore,Karnataka
2ea5983ec2edde5dcba726ea64e9fadb,1dedbe50138a3540d30fe355776d2d6a,400016,Mumbai,Maharashtra
2ea5983ec2edde5dcba726ea64e9fadb,1dedbe50138a3540d30fe355776d2d6a,560078,Bangalore,Karnataka
014fb09b34197c57ae3c77a43d18475e,6b2766da6482d51ff4604a31659ccabf,410221,Mumbai,Maharashtra
014fb09b34197c57ae3c77a43d18475e,6b2766da6482d51ff4604a31659ccabf,500034,Hyderabad,Telangana
014fb09b34197c57ae3c77a43d18475e,6b2766da6482d51ff4604a31659ccabf,700078,Kolkata,West Bengal
014fb09b34197c57ae3c77a43d18475e,6b2766da6482d51ff4604a31659ccabf,600018,Chennai,Tamil Nadu
014fb09b34197c57ae3c77a43d18475e,6b2766da6482d51ff4604a31659ccabf,500006,Hyderabad,Telangana
52f3ff878b892c17fcdc6030dcad7e7b,35b2bbd27795a44fda466212e338e9cc,110059,Delhi,UT
612c2e9ac0cdc41ded0c67720f8587d0,d845a8a9a1a89add6ce3eeaa73b8997a,700037,Kolkata,West Bengal
73e3d5eefc213584073f9781dc3e8430,f66a8a0a66a5bfba2b2a3bbb4fe89b58,500033,Hyderabad,Telangana
73e3d5eefc213584073f9781dc3e8430,f66a8a0a66a5bfba2b2a3bbb4fe89b58,560096,Bangalore,Karnataka
212910421824dc61368dd3c1b82c0fce,4dda2398f708a587201b5144b9c98d56,400702,Mumbai,Maharashtra
c2c015c222df129ec56095380b34a3f0,38d65d91905088a7b7d5be3ac5a05509,412207,Pune,Maharashtra
e6844a55be2b09d0651ee44371fe6298,611799e29c068180c82b65ab192b559b,500075,Hyderabad,Telangana
